ID	forma	cite	rank
1300	Φθίῃ	urn:cts:greekLit:tlg0012.tlg001:1.155	16
5886	Νηληϊάδη	urn:cts:greekLit:tlg0012.tlg001:10.87	3
6439	ὄρθ̓	urn:cts:greekLit:tlg0012.tlg001:10.153	4
8857	πελάσσετον	urn:cts:greekLit:tlg0012.tlg001:10.442	6
9788	Νηληϊάδη	urn:cts:greekLit:tlg0012.tlg001:10.555	3
9873	Τυδεΐδεω	urn:cts:greekLit:tlg0012.tlg001:10.566	4
10628	ἦμος	urn:cts:greekLit:tlg0012.tlg001:11.86	1
11251	κείατο	urn:cts:greekLit:tlg0012.tlg001:11.162	5
13155	πλέες	urn:cts:greekLit:tlg0012.tlg001:11.395	12
13629	Ἱππάσου	urn:cts:greekLit:tlg0012.tlg001:11.450	3
14130	Νηληϊάδη	urn:cts:greekLit:tlg0012.tlg001:11.511	3
15700	πολεῖς	urn:cts:greekLit:tlg0012.tlg001:11.708	10
16514	σφ̓	urn:cts:greekLit:tlg0012.tlg001:11.807	13
20264	διαμπερὲς	urn:cts:greekLit:tlg0012.tlg001:12.429	18
20464	ἰθὺς	urn:cts:greekLit:tlg0012.tlg001:12.453	22
20672	Ἀβίων	urn:cts:greekLit:tlg0012.tlg001:13.6	43
22197	θούριδος	urn:cts:greekLit:tlg0012.tlg001:13.197	5
87345	ὄπισθεν	urn:cts:greekLit:tlg0012.tlg001:24.15	16
88418	πρόφρονι	urn:cts:greekLit:tlg0012.tlg001:24.140	10
94367	ὡς	urn:cts:greekLit:tlg0012.tlg001:3.33	1
95268	βοῶπις	urn:cts:greekLit:tlg0012.tlg001:3.144	30
95723	πολύμητις	urn:cts:greekLit:tlg0012.tlg001:3.200	5
95998	ἑλίκωπας	urn:cts:greekLit:tlg0012.tlg001:3.234	7
96481	αἰειγενέτῃσιν	urn:cts:greekLit:tlg0012.tlg001:3.296	12
97439	ὡς	urn:cts:greekLit:tlg0012.tlg001:3.415	15
98037	τοῖό	urn:cts:greekLit:tlg0012.tlg001:4.28	24
98220	βοῶπις	urn:cts:greekLit:tlg0012.tlg001:4.50	5
98305	ἀγκυλομήτης	urn:cts:greekLit:tlg0012.tlg001:4.59	19
98432	ἀγκυλομήτεω	urn:cts:greekLit:tlg0012.tlg001:4.75	7
101729	αἰολοθώρηξ	urn:cts:greekLit:tlg0012.tlg001:4.489	4
