ID	forma	cite	rank
18	Ἄϊδι	urn:cts:greekLit:tlg0012.tlg001:1.3	18
1421	Φθίην	urn:cts:greekLit:tlg0012.tlg001:1.169	4
3428	Βριάρεων	urn:cts:greekLit:tlg0012.tlg001:1.403	18
7393	Ἀμύντορος	urn:cts:greekLit:tlg0012.tlg001:10.266	6
8760	Θύμβρης	urn:cts:greekLit:tlg0012.tlg001:10.430	17
16161	Φθίης	urn:cts:greekLit:tlg0012.tlg001:11.766	15
99659	πολέας	urn:cts:greekLit:tlg0012.tlg001:4.230	12
101975	Αἰνόθεν	urn:cts:greekLit:tlg0012.tlg001:4.520	10
111282	οἳ	urn:cts:greekLit:tlg0012.tlg001:6.218	1
123425	αἴ	urn:cts:greekLit:tlg0012.tlg001:9.140	33
123866	τὼ	urn:cts:greekLit:tlg0012.tlg001:9.196	1
124338	Φθίης	urn:cts:greekLit:tlg0012.tlg001:9.253	15
124502	τὰς	urn:cts:greekLit:tlg0012.tlg001:9.273	1
124635	ὃ	urn:cts:greekLit:tlg0012.tlg001:9.289	1
124783	τὸν	urn:cts:greekLit:tlg0012.tlg001:9.307	1
132788	εἰς	urn:cts:greekLit:tlg0012.tlg002:1.207	16
132788	εἰς	urn:cts:greekLit:tlg0012.tlg002:1.207	16
133144	Δουλιχίῳ	urn:cts:greekLit:tlg0012.tlg002:1.246	7
135220	ὅττι	urn:cts:greekLit:tlg0012.tlg002:10.44	5
149293	τὰ	urn:cts:greekLit:tlg0012.tlg002:13.20	2
149347	δαῖτα	urn:cts:greekLit:tlg0012.tlg002:13.26	6
149464	τά	urn:cts:greekLit:tlg0012.tlg002:13.41	15
149623	τά	urn:cts:greekLit:tlg0012.tlg002:13.60	18
149718	τά	urn:cts:greekLit:tlg0012.tlg002:13.71	11
150465	τό	urn:cts:greekLit:tlg0012.tlg002:13.159	3
150990	τῶν	urn:cts:greekLit:tlg0012.tlg002:13.219	1
151485	τούς	urn:cts:greekLit:tlg0012.tlg002:13.274	1
153604	τά	urn:cts:greekLit:tlg0012.tlg002:14.80	8
153953	τό	urn:cts:greekLit:tlg0012.tlg002:14.119	4
154889	τά	urn:cts:greekLit:tlg0012.tlg002:14.226	34
156206	τάς	urn:cts:greekLit:tlg0012.tlg002:14.383	12
156547	ὅγ̓	urn:cts:greekLit:tlg0012.tlg002:14.422	2
158306	τό	urn:cts:greekLit:tlg0012.tlg002:15.92	3
163152	πλεόνεσσιν	urn:cts:greekLit:tlg0012.tlg002:16.88	6
163434	Ζακύνθῳ	urn:cts:greekLit:tlg0012.tlg002:16.123	13
164154	πατέρ	urn:cts:greekLit:tlg0012.tlg002:16.202	8
168092	δαῖτ̓	urn:cts:greekLit:tlg0012.tlg002:17.182	35
172289	πτωχὸν	urn:cts:greekLit:tlg0012.tlg002:18.49	10
172877	ὅττι	urn:cts:greekLit:tlg0012.tlg002:18.113	13
194305	ταὶ	urn:cts:greekLit:tlg0012.tlg002:22.304	1
202416	οἷ	urn:cts:greekLit:tlg0012.tlg002:24.383	2
203908	οἱ	urn:cts:greekLit:tlg0012.tlg002:3.4	1
204153	ὁ	urn:cts:greekLit:tlg0012.tlg002:3.30	1
204513	τὸν	urn:cts:greekLit:tlg0012.tlg002:3.75	1
204641	ὅ	urn:cts:greekLit:tlg0012.tlg002:3.90	11
204746	τὸν	urn:cts:greekLit:tlg0012.tlg002:3.102	1
205174	οἱ	urn:cts:greekLit:tlg0012.tlg002:3.153	3
205248	οἱ	urn:cts:greekLit:tlg0012.tlg002:3.162	1
205345	ὅ	urn:cts:greekLit:tlg0012.tlg002:3.173	2
234003	ὅττι	urn:cts:greekLit:tlg0012.tlg002:9.402	14
